Unnamed: 0,name,artist,danceability,energy,key,mode,valence,tempo,Cluster
4937,Kung Fu,Ash,0.262,0.959,9,1,0.494,0.7378681010485778,2
4938,Themata,Karnivool,0.532,0.928,4,1,0.261,0.3934573766717596,1
4939,All Or Nothing,The Subways,0.597,0.797,5,0,0.88,0.4482052784696206,0
4940,Contagious,Boys Like Girls,0.459,0.945,2,1,0.764,0.7033466585738505,1
4941,Who's Gonna Find Me,The Coral,0.533,0.832,11,0,0.752,0.5512170618891145,2
4942,The Mending of the Gown,Sunset Rubdown,0.394,0.908,9,1,0.677,0.686514996128006,2
4943,Let It Burn,Ignite,0.467,0.977,5,1,0.296,0.4354214194520606,0
4944,Any Minute Now,Soulwax,0.412,0.972,9,1,0.417,0.6279537035099102,2
4945,Frankie's Gun!,The Felice Brothers,0.376,0.741,5,1,0.574,0.3247116934217962,0
4946,Remember Me,British Sea Power,0.172,0.876,7,1,0.476,0.6222315243098433,0
4947,Meaningless,The Magnetic Fields,0.64,0.775,11,1,0.749,0.5865296469160092,2
4948,Total Revenge,Say Anything,0.706,0.288,4,1,0.718,0.4693735741643819,1
4949,Fred Jones Part 2,Ben Folds,0.486,0.166,0,1,0.239,0.5519328575315516,1
4950,Lewis Takes Action,Owen Pallett,0.749,0.34,1,1,0.657,0.5152891437660897,1
4951,Waking Up,Funeral for a Friend,0.376,0.895,4,1,0.16,0.7140961510286946,1
4952,Sweet Talk,Dear and the Headlights,0.429,0.913,11,1,0.739,0.6744469327528831,2
4953,The Bed,Lou Reed,0.554,0.2,9,1,0.0389,0.6667196885661065,2
4954,The Giant of Illinois,Andrew Bird,0.429,0.263,2,1,0.194,0.5695514765901337,1
4955,I Need You Back,Ben Kweller,0.431,0.625,5,1,0.478,0.589057954331401,0
4956,Coming Home,New Found Glory,0.547,0.935,1,1,0.755,0.4596454509303251,1
4957,Women's Studies Victims,of Montreal,0.615,0.53,7,1,0.631,0.4995500115113335,0
4958,Keep It Together,Guster,0.575,0.597,4,1,0.55,0.4921241549634777,1
4959,Cheer Up,Reel Big Fish,0.518,0.932,6,1,0.807,0.633554490466523,0
4960,To China With Love,Mando Diao,0.447,0.688,9,0,0.497,0.4805584043198895,2
4961,Hawaii,Mew,0.468,0.827,7,1,0.363,0.5058624081709538,0
4962,Make Believe,Toto,0.65,0.747,11,0,0.924,0.5922183386006405,2
4963,Want,The Cure,0.376,0.827,1,1,0.222,0.7023671487473576,1
4964,Doubt Full,New Found Glory,0.46,0.891,1,0,0.621,0.749241298478411,1
4965,Atomic Love,Beatsteaks,0.227,0.938,7,0,0.329,0.7007346323698695,0
4966,How the Leopard Got Its Spots,Portugal. The Man,0.489,0.712,9,0,0.269,0.5944620021348291,2
4967,The Darkest Places,MxPx,0.452,0.984,0,1,0.355,0.4302768998932585,1
4968,Point Of Extinction,Motion City Soundtrack,0.449,0.973,8,1,0.413,0.6529981791163482,0
4969,Colors,Portugal. The Man,0.499,0.64,4,0,0.241,0.5862868624291008,1
4970,All That We Needed,Plain White T's,0.565,0.819,2,1,0.516,0.4604449653613513,1
4971,Citrus,The Hold Steady,0.567,0.45,2,1,0.489,0.4907302371334687,1
4972,Party Pit,The Hold Steady,0.364,0.931,7,1,0.42,0.5416898637476717,0
4973,Ike & Tina,Jamie T,0.605,0.804,9,0,0.875,0.7536281630004815,2
4974,The Part You Throw Away,Tom Waits,0.522,0.204,2,0,0.365,0.5604303145733481,1
4975,Move To Newlyn,The Subways,0.601,0.773,1,1,0.702,0.4395110822746395,1
4976,Narcolepsy,Ben Folds Five,0.368,0.524,0,1,0.16,0.4911488310764144,1
4977,Penny on the Train Track,Ben Kweller,0.607,0.617,2,1,0.38,0.5940392222524541,1
4978,You May Be Blue,Vetiver,0.713,0.45,11,0,0.438,0.516565855292074,2
4979,Fuck You Aurora,Alkaline Trio,0.525,0.749,7,1,0.534,0.4628225789572825,0
4980,Spectacular,Graham Coxon,0.589,0.905,2,1,0.611,0.5905230331317106,1
4981,Sailor,IAMX,0.686,0.657,7,1,0.722,0.4940873605558928,0
4982,Just One Kiss,The Cure,0.593,0.847,9,0,0.632,0.5465874128801357,2
4983,Jackie,The New Pornographers,0.373,0.767,9,1,0.565,0.837882751836581,2
4984,Brain Burner,No Age,0.251,0.997,10,1,0.0365,0.3730551078925888,2
4985,Go To Sleep,The Avett Brothers,0.43,0.766,6,1,0.686,0.5155947173444401,0
4986,You And Me,Damon Albarn,0.628,0.338,4,1,0.182,0.5456958077816615,1
4987,Division St.,Thursday,0.272,0.854,2,0,0.356,0.691420917139329,1
4988,The Thing,Pixies,0.736,0.529,0,0,0.978,0.4593482492308337,1
4989,Bored Stiff,Every Time I Die,0.336,0.98,7,1,0.202,0.5769647753197011,0
4990,Lightning Strikes the Postman,The Flaming Lips,0.351,0.818,2,1,0.525,0.529441804977082,1
4991,The Kind,Flyleaf,0.569,0.951,2,1,0.0777,0.5318863936038846,1
4992,Nowhere,Therapy?,0.383,0.952,9,1,0.316,0.3992507168421274,2
4993,Blue Headlights,Shout Out Louds,0.704,0.54,0,1,0.753,0.4827392787626363,1
4994,Poison Arrow,Sonic Youth,0.406,0.859,0,1,0.426,0.5865547625525859,1
4995,The Dreaming Tree,Dave Matthews Band,0.494,0.571,9,0,0.417,0.653454446514159,2
4996,Sometimes Life Isn't Easy,Mew,0.429,0.741,2,1,0.267,0.4254923711253898,1
4997,You're Dead,Alkaline Trio,0.436,0.924,9,1,0.742,0.5591870905627996,2
4998,Reconstruction Site,The Weakerthans,0.59,0.549,6,1,0.304,0.3810293225057033,0
4999,Phone Call,The Faint,0.752,0.625,4,0,0.918,0.6072667908495365,1
5000,Sweet Tangerine,The Hush Sound,0.546,0.851,0,1,0.751,0.6028045794177359,1
5001,The Created Void,Underoath,0.272,0.893,9,0,0.129,0.6918227673245568,2
5002,Patty Lee,Les Savy Fav,0.574,0.92,9,0,0.777,0.5439795726155844,2
5003,Leave The City And Come Home,The Rakes,0.498,0.613,4,1,0.41,0.632353125850269,1
5004,Ghosting,Mother Mother,0.47,0.622,11,1,0.234,0.7704305238703197,2
5005,Another Pearl,Badly Drawn Boy,0.612,0.825,8,1,0.483,0.4332196153121665,0
5006,Tiny Heart,Flyleaf,0.345,0.763,5,1,0.147,0.7204336633248918,0
5007,The Fortunate,Cartel,0.608,0.803,1,1,0.922,0.5818162791184411,1
5008,Happier,Guster,0.699,0.62,9,1,0.503,0.4686159191276502,2
5009,Suit Yourself,Shout Out Louds,0.551,0.911,11,1,0.717,0.450042905879152,2
5010,Southbound Pachyderm,Primus,0.438,0.793,9,1,0.352,0.6291592540655937,2
5011,Lay Me Back Down,Portugal. The Man,0.536,0.661,4,0,0.488,0.3060214738692731,1
5012,Season of the Shark,Yo La Tengo,0.519,0.579,0,1,0.672,0.340886163377216,1
5013,Like I Needed,Rogue Wave,0.434,0.837,2,1,0.545,0.5861529123673581,1
5014,Skeleton Key,Margot & the Nuclear So and So's,0.466,0.836,6,0,0.584,0.6617049331296176,0
5015,Gone,The Bouncing Souls,0.196,0.994,1,1,0.198,0.7611586680340736,1
5016,Together On The Sand,NOFX,0.666,0.3,9,1,0.473,0.5151551937043471,2
5017,Since I Told You It's Over,Stereophonics,0.5,0.509,10,0,0.22,0.5234014943803763,2
5018,I Wish,Babyshambles,0.85,0.831,1,1,0.962,0.5023127315347747,1
5019,This Close,Flyleaf,0.481,0.936,1,1,0.426,0.620247389020281,1
5020,The Promise,The Cure,0.344,0.934,5,1,0.169,0.753155151844953,0
5021,Unguided,The New Pornographers,0.413,0.771,9,1,0.245,0.6775487138701103,2
5022,Scissor,Liars,0.107,0.289,5,1,0.0675,0.6919567173862995,0
5023,Los Angeles,Frank Black,0.243,0.748,9,1,0.446,0.3141296385441303,2
5024,Trippin' Down the Freeway,Weezer,0.553,0.828,1,1,0.585,0.5530630611775048,1
5025,Big Attack,Beatsteaks,0.375,0.937,2,1,0.413,0.3840264551371942,1
5026,Hello Helicopter,Motion City Soundtrack,0.466,0.731,6,1,0.126,0.5567048284811319,0
5027,I Thought You Were My Boyfriend,The Magnetic Fields,0.636,0.702,9,1,0.555,0.5233721928043702,2
5028,Give It Up,The Format,0.657,0.625,10,1,0.592,0.4479834236798594,2
5029,Love Like Semtex,Infadels,0.56,0.763,8,0,0.545,0.5527491157202956,0
5030,"Oh My God, Whatever, Etc.",Ryan Adams,0.572,0.395,4,1,0.483,0.33299985349212,1
5031,Strange,The Feeling,0.506,0.734,0,0,0.668,0.6069109859980326,1
5032,New Direction,Gorilla Biscuits,0.356,0.983,6,1,0.19,0.5750392431821512,0
5033,What If We Could,Blue October,0.554,0.752,9,0,0.303,0.4981016764687415,2
5034,Jeannie's Diary,Eels,0.402,0.264,5,1,0.16,0.3783712509679985,0
5035,Dead Living,Sugarcult,0.395,0.911,1,1,0.475,0.6708930701772745,1
5036,Time,Cute Is What We Aim For,0.599,0.647,1,1,0.39,0.5023545909290693,1
5037,Look At You,My Morning Jacket,0.586,0.442,8,1,0.319,0.5735490487452647,0
5038,Tear Garden,IAMX,0.499,0.945,7,0,0.78,0.6528893446911824,0
5039,Black Magic,Jarvis Cocker,0.423,0.727,11,1,0.415,0.7403336193725277,2
5040,Paper Cup Exit,Sonic Youth,0.412,0.827,4,1,0.441,0.4809058372925344,1
5041,Shadows Of Salford,Doves,0.375,0.313,11,1,0.234,0.4293852947947844,2
5042,I Need You,Relient K,0.391,0.965,1,0,0.419,0.7871073065572742,1
5043,Whoever She Is,The Maine,0.542,0.435,7,1,0.537,0.4183260428221604,0
5044,Freak Out,My Brightest Diamond,0.438,0.544,4,0,0.511,0.6695242679838423,1
5045,Fear Is Our Tradition,Ignite,0.465,0.979,4,0,0.326,0.4104020594821994,1
5046,I Wish I Was A Girl,Counting Crows,0.403,0.82,4,1,0.368,0.6979258670127043,1
5047,Options,Pedro the Lion,0.584,0.508,7,1,0.288,0.2595031289897235,0
5048,Fannin Street,Tom Waits,0.23,0.225,0,1,0.175,0.3641139412712698,1
5049,Blowing It,Dinosaur Jr.,0.507,0.886,7,1,0.758,0.6096569622637561,0
5050,Montauk,Bayside,0.637,0.452,10,0,0.594,0.6689633521002952,2
5051,Chop Chop,The Academy Is...,0.375,0.951,4,0,0.277,0.6489127022331986,1
5052,Vegas,New Found Glory,0.566,0.963,4,1,0.442,0.4881600703237824,1
5053,Vaccine,Mew,0.492,0.783,1,0,0.331,0.5860398920027629,1
5054,No Regrets,The Von Bondies,0.362,0.977,9,1,0.374,0.591259758471295,2
5055,Shaking,Sugarcult,0.499,0.918,8,1,0.701,0.5195588019841354,0
5056,Up All Night,Unwritten Law,0.62,0.96,8,1,0.708,0.4563511165993428,0
5057,Turnaround,The Subways,0.437,0.941,1,1,0.6,0.4102513656627389,1
5058,Paper Hanger,mewithoutYou,0.389,0.857,9,1,0.489,0.5372192804370122,2
5059,All Along The Watchtower,Dave Matthews Band,0.349,0.901,0,1,0.0941,0.4373469515896105,1
5060,The Things That I Used To Do,G. Love & Special Sauce,0.445,0.721,0,1,0.586,0.8492475773875553,1
5061,See the Light,Sparklehorse,0.695,0.535,0,1,0.47,0.5951359383829717,1
5062,Cartoons and Macramé Wounds,Mew,0.476,0.493,6,0,0.141,0.5737123003830135,0
5063,You and I Misbehaving,Tilly and the Wall,0.595,0.977,0,0,0.401,0.5444525837711129,1
5064,Best Imitation of Myself,Ben Folds Five,0.514,0.752,0,1,0.68,0.4628895539881538,1
5065,1930,The Gaslight Anthem,0.222,0.995,0,0,0.146,0.7799744657694804,1
5066,Shade,Portugal. The Man,0.42,0.774,7,0,0.49,0.7286590343037737,0
5067,The Conversation,Motion City Soundtrack,0.62,0.324,3,1,0.255,0.3724648904330355,1
5068,At This Velocity,Thursday,0.218,0.903,2,1,0.301,0.4534460746353,1
5069,Don't Slow Down,Copeland,0.433,0.732,2,1,0.382,0.5348207371439336,1
5070,Strange Terrain,Circa Survive,0.221,0.958,3,1,0.112,0.7522509889281903,1
5071,Pretty Things,Rufus Wainwright,0.253,0.113,5,1,0.115,0.2916804453839553,0
5072,"Sweet Talk, Sweet Talk",The New Pornographers,0.668,0.641,7,1,0.663,0.5693672952552378,0
5073,A New Day,Volbeat,0.399,0.734,0,0,0.703,0.3475543648883401,1
5074,Schwinger,Seeed,0.816,0.696,10,0,0.668,0.3640260365432512,2
5075,Eternal Refuge,Whitechapel,0.336,0.996,6,1,0.0401,0.5264781598610269,0
5076,Circle,Flyleaf,0.47,0.914,6,0,0.336,0.6117122585236192,0
5077,We're Not Alone,Dinosaur Jr.,0.147,0.935,5,1,0.338,0.8523661022625004,0
5078,Reality,David Bowie,0.445,0.984,9,1,0.461,0.6266895498022144,2
5079,The Enemy,Paradise Lost,0.236,0.911,2,0,0.28,0.5309026978379623,1
5080,House Party At Boothy's,Little Man Tate,0.421,0.898,0,1,0.764,0.6530484103895017,1
5081,Good Clean Fun,Cat Power,0.521,0.392,5,1,0.21,0.4199669310785073,0
5082,Motivational Speaker,Cut Chemist,0.939,0.902,1,1,0.784,0.5091316268653593,1
5083,Black Girls,Violent Femmes,0.509,0.939,2,1,0.4,0.4829611335523975,1
5084,Spinning,Jack's Mannequin,0.521,0.914,1,1,0.683,0.5439377132212897,1
5085,Most Beautiful Plague,Say Anything,0.394,0.725,9,0,0.335,0.5192281127692082,2
5086,Middle Cyclone,Neko Case,0.68,0.168,8,1,0.259,0.4606417045145357,0
5087,The Waitress,Tori Amos,0.598,0.394,7,1,0.444,0.5591954624416585,0
5088,One Last Kiss,Madina Lake,0.518,0.933,8,1,0.397,0.4599300948115281,0
5089,Beautiful Child,Rufus Wainwright,0.182,0.751,0,1,0.239,0.7509407898867704,1
5090,While You Were Sleeping,Elvis Perkins,0.322,0.566,3,1,0.271,0.6624123568931959,1
5091,Chillout Tent,The Hold Steady,0.509,0.875,7,1,0.745,0.4977416856778083,0
5092,Maybe I'll Catch Fire,Alkaline Trio,0.442,0.823,0,1,0.45,0.6076225957010402,1
5093,Those Damned Blue-Collar Tweekers,Primus,0.699,0.681,11,0,0.749,0.4188325414931246,2
5094,The Next Life,Suede,0.309,0.0792,7,1,0.0511,0.6127964168358484,0
5095,The Car Song,The Cat Empire,0.516,0.844,7,0,0.736,0.6284476443625862,0
5096,Father Time,Animal Collective,0.621,0.789,9,0,0.683,0.5107850729399946,2
5097,Paint Your Target,Fightstar,0.259,0.947,9,1,0.398,0.3898532828229976,2
5098,Midnight Directives,Owen Pallett,0.471,0.64,9,0,0.202,0.6442370078904959,2
5099,Mr. Right,A Rocket to the Moon,0.583,0.804,6,1,0.654,0.5610665773666256,0
5100,No Way,Sonic Youth,0.407,0.893,0,1,0.521,0.6325791665794597,1
5101,Caught In Your Trap,The Pigeon Detectives,0.467,0.888,9,1,0.776,0.617689780028883,2
5102,Walking With Thee,Clinic,0.505,0.608,1,1,0.432,0.5100692772975576,1
5103,The Weakest,Emery,0.228,0.933,8,1,0.32,0.7083655999497688,0
5104,I Might Need You To Kill,The Thermals,0.421,0.81,11,0,0.568,0.4591305803805019,2
5105,Defiance,Incubus,0.584,0.398,6,1,0.388,0.602787835660018,0
5106,You Got Nothing On Me,Mando Diao,0.273,0.779,11,0,0.102,0.6701312292011136,2
5107,Please Don't,The Courteeners,0.462,0.646,7,1,0.442,0.5108311182737186,0
5108,April Fools,Rufus Wainwright,0.449,0.724,7,1,0.471,0.4612821532472425,0
5109,The Weak and the Wounded,Silverstein,0.365,0.938,8,0,0.302,0.3970991439753867,0
5110,When The Sh-- Goes Down,Cypress Hill,0.864,0.42,4,0,0.512,0.402988760752632,1
5111,Tonite It Shows,Mercury Rev,0.18,0.733,8,0,0.342,0.4009543941899161,0
5112,Let It Be Me,Social Distortion,0.375,0.96,6,0,0.199,0.3854496745432094,0
5113,Carol Brown,Flight of the Conchords,0.739,0.67,2,1,0.773,0.623449632683815,1
5114,Wave,Crystal Fighters,0.445,0.781,11,1,0.322,0.5740178739613638,2
5115,Lost Girls,Tilly and the Wall,0.606,0.649,0,1,0.557,0.481424893781787,1
5116,My Little Needle,Alkaline Trio,0.474,0.922,4,1,0.737,0.5093869691705561,1
5117,Bang On,The Breeders,0.822,0.49,6,1,0.581,0.6131438498084933,0
5118,The Sweat Descends,Les Savy Fav,0.452,0.937,11,0,0.543,0.6206785407815149,2
5119,Television,Hard-Fi,0.471,0.758,1,0,0.357,0.5651897277046402,1
5120,Heathen (The Rays),David Bowie,0.505,0.675,8,1,0.0419,0.5024173800205112,0
5121,Mulholland Drive,The Gaslight Anthem,0.58,0.71,7,0,0.564,0.4855982753929551,0
5122,I Won't Be There,Simple Plan,0.565,0.904,8,1,0.7,0.5780321898742126,0
5123,The Messenger,Thrice,0.16,0.979,4,0,0.147,0.6580799095837083,1
5124,Graduation Day,Head Automatica,0.418,0.969,7,1,0.211,0.5869105674040898,0
5125,Red Meets Blue,Matt Wertz,0.596,0.766,1,1,0.76,0.330835722807091,1
5126,It's Not OK,The Enemy,0.292,0.97,11,1,0.439,0.6873772996504741,2
5127,Strange Vine,Delta Spirit,0.433,0.75,11,1,0.614,0.5095376629900166,2
5128,Black Jack,The Hives,0.276,0.977,5,0,0.499,0.610812281546286,0
5129,Newborn,Elbow,0.152,0.549,2,1,0.0725,0.7267042005902175,1
5130,System,Coma,0.29,0.962,10,0,0.192,0.4652587957052261,2
5131,What Would the Community Think,Cat Power,0.182,0.136,9,0,0.0378,0.3019359969861236,2
5132,Wasteland,Augustana,0.523,0.622,2,1,0.202,0.4564390213273614,1
5133,Hurricane Waters,Citizen Cope,0.668,0.893,7,1,0.787,0.4268737311371104,0
5134,Killian's Red,Nada Surf,0.263,0.767,9,0,0.302,0.646576948031562,2
5135,North Country Boy,The Charlatans,0.389,0.903,9,1,0.465,0.35818246509973,2
5136,Memorabilia,Nine Inch Nails,0.6,0.988,5,1,0.322,0.5603256660876118,0
5137,Half a Canyon,Pavement,0.253,0.864,9,1,0.397,0.5691286967077587,2
5138,Right Girl,The Maine,0.524,0.921,2,1,0.703,0.3724607044936059,1
5139,Paddling Ghost,Dan Deacon,0.347,0.773,1,1,0.145,0.7535904895456164,1
5140,Broad Daylight,Gabriel Rios,0.785,0.427,11,0,0.47,0.4457355742062412,2
5141,Family Values,Johnossi,0.429,0.437,6,1,0.274,0.5141840557567132,0
5142,Your Boyfriend Sucks,The Ataris,0.42,0.939,9,1,0.423,0.5503715021243643,2
5143,We Dreamt In Heist,Anberlin,0.394,0.935,0,1,0.643,0.701709956256933,1
5144,Echolot,Wir sind Helden,0.621,0.615,4,0,0.206,0.5150882186734759,1
5145,I'm Yours,Jason Mraz,0.681,0.464,11,1,0.73,0.6313191988111931,2
5146,Dog Days Are Over,Florence + the Machine,0.499,0.795,7,1,0.357,0.627748592477867,0
5147,Skinny Love,Bon Iver,0.565,0.257,0,1,0.111,0.3201950647774126,1
5148,You've Got the Love,Florence + the Machine,0.524,0.721,6,1,0.302,0.4566399464199753,0
5149,Young Folks,Peter Bjorn and John,0.696,0.847,0,1,0.676,0.5783921806651459,1
5150,Born to Die,Lana Del Rey,0.325,0.634,4,0,0.423,0.7202787835660018,1
5151,Flume,Bon Iver,0.501,0.186,11,1,0.088,0.2797965633437284,2
5152,White Winter Hymnal,Fleet Foxes,0.621,0.497,6,0,0.702,0.52329684589464,0
5153,Hoppípolla,Sigur Rós,0.3,0.669,11,1,0.154,0.5844534209589988,2
5154,Breathe Me,Sia,0.544,0.515,0,1,0.191,0.5024550534753763,1
5155,Blue Jeans,Lana Del Rey,0.558,0.837,3,1,0.488,0.4937859729169719,1
5156,Fidelity,Regina Spektor,0.923,0.513,5,1,0.745,0.3893216685154567,0
5157,Grace Kelly,Mika,0.666,0.715,0,1,0.699,0.5117059796144751,1
5158,Cosmic Love,Florence + the Machine,0.519,0.829,9,0,0.113,0.5862868624291008,2
5159,Mushaboom,Feist,0.728,0.484,8,1,0.831,0.3714309633939597,0
5160,1234,Feist,0.703,0.48,2,1,0.599,0.4602063668138723,1
5161,Samson,Regina Spektor,0.49,0.193,11,1,0.184,0.3731932438937608,2
5162,Riptide,Vance Joy,0.484,0.731,1,1,0.51,0.4255174867619666,1
5163,White Flag,Dido,0.511,0.487,5,1,0.305,0.710789258879424,0
5164,Disorder,Joy Division,0.309,0.813,10,0,0.662,0.3562025157495971,2
5165,National Anthem,Lana Del Rey,0.535,0.902,0,0,0.415,0.3555076498043074,1
5166,My Moon My Man,Feist,0.692,0.529,4,0,0.492,0.5216810732748698,1
5167,Dark Paradise,Lana Del Rey,0.597,0.661,1,0,0.436,0.5023169174742043,1
5168,I Feel It All,Feist,0.549,0.677,2,1,0.665,0.7195755457418531,1
5169,Young and Beautiful,Lana Del Rey,0.323,0.43,11,0,0.13,0.482534167730593,2
5170,Lump Sum,Bon Iver,0.486,0.326,9,1,0.417,0.6055086962891647,2
5171,Blindsided,Bon Iver,0.677,0.155,10,1,0.0437,0.4828062537935076,2
5172,9 Crimes,Damien Rice,0.329,0.167,0,1,0.0995,0.3104878712405032,1
5173,The Blower's Daughter,Damien Rice,0.342,0.2,4,1,0.0743,0.5572029552732373,1
5174,Nantes,Beirut,0.435,0.538,6,1,0.666,0.5483706230770841,0
5175,Creature Fear,Bon Iver,0.393,0.125,2,1,0.181,0.4369325435860943,1
5176,Postcards From Italy,Beirut,0.614,0.57,2,0,0.42,0.4603905481487683,1
5177,Delicate,Damien Rice,0.451,0.185,5,1,0.205,0.4767031541053602,0
5178,On the Radio,Regina Spektor,0.88,0.414,0,1,0.44,0.4269323342891229,1
5179,"Piazza, New York Catcher",Belle and Sebastian,0.618,0.305,3,0,0.833,0.4425124008455598,1
5180,Daniel,Bat for Lashes,0.537,0.674,8,0,0.466,0.282626258398041,0
5181,Never Let Me Go,Florence + the Machine,0.445,0.726,9,1,0.246,0.605244982105109,2
5182,Mad World,Tears for Fears,0.646,0.902,4,1,0.936,0.4969589150044999,1
5183,Youth,Daughter,0.588,0.477,9,0,0.488,0.6295485464325331,2
5184,Champion,Kanye West,0.679,0.495,6,1,0.789,0.4274806923543817,0
5185,Carmen,Lana Del Rey,0.533,0.428,1,0,0.0375,0.4186902195525231,1
5186,Foundations,Kate Nash,0.573,0.916,0,1,0.871,0.3536114192427635,1
5187,Cold Shoulder,Adele,0.648,0.82,0,1,0.35,0.4602984574813202,1
5188,I'd Rather Dance With You,Kings of Convenience,0.801,0.838,8,1,0.943,0.5942820067393625,0
5189,Always Like This,Bombay Bicycle Club,0.649,0.613,1,1,0.678,0.5083321124343332,1
5190,Zebra,Beach House,0.611,0.465,8,1,0.23,0.4955231377801963,0
5191,Us,Regina Spektor,0.268,0.391,1,1,0.137,0.3632139642939366,1
5192,Misread,Kings of Convenience,0.632,0.531,11,1,0.874,0.6728018585571067,2
5193,Something Good,alt-J,0.682,0.581,7,1,0.539,0.456187864961594,0
5194,Million Dollar Man,Lana Del Rey,0.2,0.581,3,0,0.53,0.8250402896670087,1
5195,Elephant Gun,Beirut,0.275,0.64,8,1,0.482,0.75387094748739,0
5196,Right as Rain,Adele,0.842,0.679,1,1,0.918,0.574294145963708,1
5197,Homesick,Kings of Convenience,0.437,0.393,1,1,0.194,0.3853073526026079,1
5198,Truly Madly Deeply,Savage Garden,0.555,0.698,0,1,0.816,0.7037401368802194,1
5199,Lollipop,Mika,0.703,0.616,1,1,0.843,0.4018334414701019,1
5200,Your Ex-Lover Is Dead,Stars,0.343,0.52,0,1,0.255,0.641101739257833,1
5201,Norway,Beach House,0.463,0.473,5,1,0.155,0.496657527365579,0
5202,Matilda,alt-J,0.581,0.654,2,1,0.224,0.6188492852508425,1
5203,Don't,Ed Sheeran,0.806,0.608,1,1,0.849,0.3978693568304067,1
5204,First Love,Adele,0.687,0.106,0,1,0.346,0.3407563992549028,1
5205,Only Love,Ben Howard,0.536,0.494,8,1,0.334,0.3365872035831642,0
5206,Life for Rent,Dido,0.493,0.533,3,1,0.159,0.3475250633123339,1
5207,Lolita,Lana Del Rey,0.499,0.939,0,0,0.148,0.5692166014357772,1
5208,Spectrum,Florence + the Machine,0.574,0.879,11,0,0.122,0.5152305406140774,2
5209,Hotel Song,Regina Spektor,0.889,0.581,9,1,0.723,0.569342179618661,2
5210,The Boy With the Arab Strap,Belle and Sebastian,0.576,0.833,7,1,0.705,0.5959982419054397,0
5211,Smiley Faces,Gnarls Barkley,0.558,0.884,10,0,0.622,0.3641139412712698,2
5212,Toothpaste Kisses,The Maccabees,0.651,0.423,9,1,0.525,0.4264132777998702,2
5213,Lucky Ones,Lana Del Rey,0.325,0.423,0,1,0.258,0.5625860733795183,1
5214,Tired,Adele,0.803,0.673,11,1,0.552,0.4060235668389879,2
5215,Orange Sky,Alexi Murdoch,0.66,0.262,7,1,0.413,0.5841394755017896,0
5216,Lover's Spit,Broken Social Scene,0.327,0.585,0,1,0.153,0.3245651855417653,1
5217,Olsen Olsen,Sigur Rós,0.202,0.492,2,1,0.227,0.5539797819125557,1
5218,Pumpkin Soup,Kate Nash,0.597,0.7,5,0,0.772,0.4081751397057285,0
5219,At the Bottom of Everything,Bright Eyes,0.533,0.491,0,1,0.814,0.4479206345884176,1
5220,Flugufrelsarinn,Sigur Rós,0.196,0.686,2,1,0.102,0.5034387492412985,1
5221,Janglin,Edward Sharpe & The Magnetic Zeros,0.578,0.688,6,0,0.36,0.518683940643379,0
5222,Knife,Grizzly Bear,0.294,0.422,11,1,0.109,0.3895309654869295,2
5223,Deep Water,Portishead,0.709,0.0741,6,1,0.383,0.3822223152430985,0
5224,Sure Shot,Beastie Boys,0.699,0.804,1,1,0.513,0.4100546265095544,1
5225,Falling,HAIM,0.753,0.922,2,1,0.319,0.4688168442202642,1
5226,Amie,Damien Rice,0.286,0.394,2,1,0.152,0.3415307980493522,1
5227,Santa Fe,Beirut,0.728,0.557,11,1,0.962,0.551313338495992,2
5228,Breaking Down,Florence + the Machine,0.579,0.723,1,1,0.581,0.4603612465727621,1
5229,Lover to Lover,Florence + the Machine,0.584,0.809,0,1,0.499,0.4981393499236066,1
5230,Forrest Gump,Frank Ocean,0.685,0.402,9,1,0.214,0.3977186630109463,2
5231,Up Up & Away,Kid Cudi,0.661,0.886,10,0,0.573,0.5024466815965173,2
5232,Sierra Leone,Frank Ocean,0.54,0.598,7,1,0.637,0.5233135896523577,0
5233,Intuition,Feist,0.567,0.164,2,1,0.271,0.4665187634734926,1
5234,Cold Water,Damien Rice,0.348,0.169,0,1,0.0861,0.4979551685887106,1
5235,Ch-Check It Out,Beastie Boys,0.797,0.902,1,1,0.699,0.481663492329266,1
5236,Shake Me Down,Cage the Elephant,0.457,0.613,9,1,0.132,0.4399840934301681,2
5237,DDevil,System of a Down,0.531,0.975,1,1,0.683,0.4147596224282635,1
5238,Americana,The Offspring,0.371,0.829,7,1,0.842,0.6296238933422633,0
5239,Town Called Malice,The Jam,0.531,0.94,6,0,0.723,0.4267565248330857,0
5240,Til Kingdom Come,Coldplay,0.607,0.395,0,1,0.274,0.4816676782686955,1
5241,Six Shooter,Queens of the Stone Age,0.348,0.959,4,0,0.337,0.7136398836308839,1
5242,Movin' On Up,Primal Scream,0.521,0.758,0,0,0.577,0.3945373490445594,1
5243,Honeybear,Yeah Yeah Yeahs,0.623,0.892,4,0,0.521,0.5038196697293791,1
5244,Date Rape,Sublime,0.593,0.68,4,0,0.708,0.4166014357772243,1
5245,You Don't Know What Love Is (You Just Do as You're Told),The White Stripes,0.432,0.765,2,1,0.544,0.352983528328345,1
5246,A Long December,Counting Crows,0.404,0.6,5,1,0.386,0.5934113313380356,0
5247,Running Battle,Kasabian,0.524,0.907,9,0,0.141,0.7385336654178614,2
5248,Festival,Sigur Rós,0.156,0.392,7,1,0.193,0.3367127817660478,0
